1660595481,"[0.03955078125, 0.043701171875, 1.09423828125]","[3.5552978515625, 6.52313232421875, 5.08880615234375]","[-96, 386, -1042]"
1660595482,"[-0.0068359375, 0.0087890625, 1.12646484375]","[3.60107421875, 5.51605224609375, 4.4097900390625]","[-89, 371, -1040]"
1660595482,"[-0.03125, 0.046630859375, 1.083984375]","[3.89862060546875, 5.42449951171875, 5.16510009765625]","[-96, 383, -1051]"
1660595483,"[-0.034423828125, 0.026611328125, 1.089599609375]","[1.47247314453125, 5.9661865234375, 3.24249267578125]","[-94, 383, -1045]"
1660595484,"[0.004638671875, 0.07373046875, 1.091064453125]","[2.96783447265625, 4.58526611328125, 4.20379638671875]","[-93, 384, -1041]"
1660595484,"[-0.0400390625, -0.044677734375, 1.088134765625]","[3.16619873046875, 6.41632080078125, 5.0201416015625]","[-94, 383, -1040]"
1660595485,"[0.061767578125, 0.025390625, 1.125732421875]","[2.95257568359375, 6.103515625, 5.66864013671875]","[-60, 364, -1010]"
1660595485,"[-0.017333984375, 0.010498046875, 1.071533203125]","[2.960205078125, 6.84356689453125, 3.0059814453125]","[-101, 388, -1038]"
1660595486,"[-0.04443359375, 0.0537109375, 1.09716796875]","[2.70843505859375, 5.5084228515625, 3.59344482421875]","[-90, 380, -1034]"
1660595486,"[-0.03857421875, -0.004150390625, 1.072021484375]","[3.65447998046875, 6.34765625, 5.22613525390625]","[-63, 357, -1003]"
1660595486,"[-0.030029296875, 0.006103515625, 1.091796875]","[3.8299560546875, 5.63812255859375, 5.3253173828125]","[-94, 386, -1042]"
1660595487,"[0.026123046875, 0.08203125, 1.068603515625]","[2.58636474609375, 5.1116943359375, 5.97381591796875]","[-85, 389, -1036]"
1660595487,"[0.00732421875, 0.03955078125, 1.08447265625]","[2.44903564453125, 4.98199462890625, 4.57000732421875]","[-67, 359, -1026]"
1660595488,"[0.041259765625, 0.0185546875, 1.09228515625]","[2.76947021484375, 5.42449951171875, 4.180908203125]","[-89, 383, -1040]"
1660595488,"[-0.0244140625, 0.033935546875, 1.07958984375]","[3.71551513671875, 6.988525390625, 5.1116943359375]","[-82, 386, -1051]"
1660595489,"[-0.01318359375, 0.017333984375, 1.10400390625]","[3.1585693359375, 7.34710693359375, 5.767822265625]","[-78, 375, -1034]"
1660595489,"[-0.038330078125, -0.016845703125, 1.10009765625]","[3.7689208984375, 6.2103271484375, 4.55474853515625]","[-89, 378, -1040]"
1660595490,"[-0.008544921875, 0.06591796875, 1.082275390625]","[2.8076171875, 5.615234375, 5.2642822265625]","[-84, 378, -1028]"
1660595490,"[-0.016357421875, 0.02294921875, 1.1123046875]","[3.88336181640625, 5.68389892578125, 5.79833984375]","[-93, 375, -1032]"
1660595491,"[-0.029052734375, 0.03271484375, 1.13525390625]","[2.93731689453125, 5.218505859375, 4.00543212890625]","[-91, 383, -1042]"
1660595491,"[0.0576171875, 0.0537109375, 1.06689453125]","[2.74658203125, 5.39398193359375, 2.655029296875]","[-67, 362, -1005]"
1660595491,"[-0.01953125, 0.05859375, 1.103759765625]","[2.6702880859375, 4.66156005859375, 6.622314453125]","[-89, 378, -1024]"
1660595492,"[-0.008544921875, 0.090576171875, 1.093017578125]","[2.227783203125, 6.44683837890625, 4.85992431640625]","[-96, 383, -1031]"
1660595492,"[0.01171875, 0.0390625, 1.11767578125]","[2.7008056640625, 5.8441162109375, 5.462646484375]","[-96, 376, -1056]"
1660595493,"[-0.02392578125, 0.00244140625, 1.1005859375]","[3.63922119140625, 5.43212890625, 4.7607421875]","[-81, 377, -1041]"
1660595493,"[-0.03515625, 0.093505859375, 1.136474609375]","[2.9144287109375, 4.08935546875, 5.67626953125]","[-88, 380, -1039]"
1660595494,"[-0.02392578125, 0.029052734375, 1.09912109375]","[2.76947021484375, 5.3558349609375, 3.448486328125]","[-82, 376, -1042]"
1660595494,"[-0.009033203125, 0.070556640625, 1.10302734375]","[2.655029296875, 4.82940673828125, 4.61578369140625]","[-84, 388, -1045]"
1660595494,"[-0.057861328125, 0.04443359375, 1.09521484375]","[2.2430419921875, 6.2103271484375, 4.08172607421875]","[-70, 359, -1012]"
1660595495,"[-0.01171875, 0.094482421875, 1.084716796875]","[2.37274169921875, 5.462646484375, 7.07244873046875]","[-95, 384, -1041]"
1660595495,"[-0.010498046875, 0.022705078125, 1.113037109375]","[3.814697265625, 5.5999755859375, 5.40924072265625]","[-94, 395, -1035]"
1660595496,"[-0.075439453125, 0.058837890625, 1.097412109375]","[2.7313232421875, 5.126953125, 4.44793701171875]","[-67, 364, -1012]"
1660595496,"[-0.03173828125, 0.02001953125, 1.104248046875]","[3.34930419921875, 5.126953125, 4.69207763671875]","[-89, 395, -1049]"
1660595497,"[-0.048828125, 0.07861328125, 1.0810546875]","[3.265380859375, 5.4931640625, 3.77655029296875]","[-91, 374, -1045]"
1660595497,"[0.01220703125, 0.01220703125, 1.12109375]","[2.838134765625, 5.63812255859375, 4.5318603515625]","[-93, 375, -1041]"
1660595498,"[0.014404296875, 0.021484375, 1.0859375]","[2.410888671875, 6.4239501953125, 4.8828125]","[-96, 386, -1040]"
1660595498,"[-0.029296875, 0.05859375, 1.11083984375]","[2.8228759765625, 7.3394775390625, 6.81304931640625]","[-79, 350, -1031]"
1660595498,"[-0.087646484375, 0.011962890625, 1.1162109375]","[4.638671875, 6.16455078125, 3.387451171875]","[-93, 372, -1046]"
1660595499,"[0.005615234375, 0.027099609375, 1.099609375]","[3.30352783203125, 5.57708740234375, 3.8604736328125]","[-84, 383, -1045]"
1660595499,"[-0.000732421875, 0.032470703125, 1.130126953125]","[3.12042236328125, 6.06536865234375, 5.28717041015625]","[-89, 383, -1040]"
1660595500,"[-0.05078125, 0.080078125, 1.072021484375]","[2.60162353515625, 6.5460205078125, 4.8675537109375]","[-94, 378, -1042]"
1660595500,"[-0.03076171875, 0.059326171875, 1.10205078125]","[3.07464599609375, 4.81414794921875, 3.54766845703125]","[-88, 372, -1048]"
1660595501,"[0.0302734375, 0.036865234375, 1.080078125]","[2.75421142578125, 6.927490234375, 4.8370361328125]","[-95, 389, -1043]"
1660595501,"[-0.009521484375, 0.053955078125, 1.056640625]","[4.3182373046875, 7.01141357421875, 4.33349609375]","[-88, 380, -1041]"
1660595501,"[0.010009765625, -0.006591796875, 1.06689453125]","[3.48663330078125, 4.11224365234375, 4.45556640625]","[-95, 384, -1041]"
1660595502,"[-0.0693359375, 0.05517578125, 1.110107421875]","[3.88336181640625, 5.0048828125, 4.7760009765625]","[-96, 383, -1054]"
1660595502,"[0.015625, 0.016845703125, 1.074951171875]","[3.814697265625, 6.195068359375, 4.53948974609375]","[-96, 388, -1038]"
1660595503,"[0.010498046875, 0.057373046875, 1.105712890625]","[3.95965576171875, 6.12640380859375, 3.63922119140625]","[-64, 370, -1030]"
1660595503,"[-0.022216796875, 0.095458984375, 1.122802734375]","[2.47955322265625, 5.47027587890625, 6.3323974609375]","[-95, 387, -1039]"
1660595504,"[-0.009765625, 0.006591796875, 1.08984375]","[3.8299560546875, 6.76727294921875, 4.5166015625]","[-88, 377, -1043]"
1660595504,"[-0.025634765625, 0.066162109375, 1.07958984375]","[2.40325927734375, 4.40216064453125, 4.0130615234375]","[-89, 381, -1033]"
1660595505,"[0.003662109375, 0.044189453125, 1.082763671875]","[3.76129150390625, 6.28662109375, 4.45556640625]","[-88, 389, -1034]"
1660595505,"[-0.041015625, 0.031982421875, 1.116943359375]","[2.64739990234375, 4.5166015625, 4.5166015625]","[-88, 382, -1043]"
1660595505,"[-0.0224609375, 0.051513671875, 1.10009765625]","[1.89971923828125, 5.18798828125, 6.29425048828125]","[-91, 383, -1040]"
1660595506,"[-0.05322265625, 0.025390625, 1.11669921875]","[2.01416015625, 4.791259765625, 3.95965576171875]","[-93, 384, -1036]"
1660595506,"[-0.066162109375, 0.07568359375, 1.10986328125]","[2.34222412109375, 6.00433349609375, 3.9825439453125]","[-89, 395, -1035]"
1660595507,"[-0.00537109375, -0.010009765625, 1.103759765625]","[3.28826904296875, 6.03485107421875, 4.61578369140625]","[-90, 389, -1034]"
1660595507,"[-0.01318359375, 0.05126953125, 1.07421875]","[2.67791748046875, 5.02777099609375, 4.05120849609375]","[-91, 381, -1049]"
1660595508,"[-0.030517578125, 0.017578125, 1.120361328125]","[3.1890869140625, 5.47027587890625, 5.14984130859375]","[-90, 382, -1046]"
1660595508,"[-0.017822265625, -0.002197265625, 1.076904296875]","[2.72369384765625, 5.7220458984375, 6.06536865234375]","[-101, 395, -1051]"
1660595509,"[0.030517578125, -0.01123046875, 1.148681640625]","[2.0904541015625, 6.1492919921875, 4.2266845703125]","[-94, 378, -1049]"
1660595509,"[-0.01220703125, 0.028564453125, 1.1171875]","[2.197265625, 5.9356689453125, 4.17327880859375]","[-90, 387, -1034]"
1660595510,"[-0.015869140625, 0.061767578125, 1.0810546875]","[1.9683837890625, 5.615234375, 6.16455078125]","[-91, 383, -1047]"
1660595510,"[-0.031005859375, 0.0419921875, 1.108154296875]","[3.51715087890625, 5.85174560546875, 5.05828857421875]","[-96, 386, -1038]"
1660595510,"[0.02490234375, 0.061767578125, 1.08251953125]","[2.899169921875, 4.7607421875, 4.0435791015625]","[-89, 381, -1033]"
1660595511,"[0.036376953125, 0.08837890625, 1.114013671875]","[2.87628173828125, 6.53076171875, 5.828857421875]","[-95, 389, -1032]"
